,Номер,Название,Жанры,Описание,Рейтинг,Изображение
1,1,Сказания марионеток / Tales of Puppet,  ,,6.1,https://moe.shikimori.one/system/animes/preview/38112.jpg?1665082664
2,2,Седьмой киллер: Дополнительная история / Cike Wu Liuqi Fanwai,Экшен Комедия Драма Детектив Романтика Боевые искусства Супер сила,"Четыре дополнительных эпизода аниме «Седьмой киллер», в которых описывается жизнь Тринадцатой и Дай Бо до встречи с Седьмым.",7.52,https://nyaa.shikimori.one/system/animes/preview/38410.jpg?1664828375
3,3,Цугумомо. Продолжение / Tsugu Tsugumomo,Сэйнэн Экшен Комедия Сверхъестественное Этти Школа,"После того, как «обычный мальчик» Кадзуя Кагами встречает прекрасную цукумогами по имени Кириха, его жизнь переворачивается с ног на голову. Будучи «запретным ребёнком», притягивающим к себе всё сверхъестественное, он получает приказ от местной богини Кукури стать экзорцистом и одолеть злые силы.
Чтобы узнать информацию об этих сверхъестественных существах, Кадзуя и его друзья основали в школе клуб помощников. Но за типичными, казалось бы, неприятностями, скрывается крупный заговор, нацеленный на Кукури!",7.46,https://dere.shikimori.one/system/animes/preview/39469.jpg?1657365739
4,4,Боевой отряд Мусумэт / Ryuusei Sentai Musumet,Приключения Комедия Романтика Фантастика Этти,,5.96,https://kawai.shikimori.one/system/animes/preview/1711.jpg?1635201433
5,5,Код Гиас: Отступник Акито 2 — Разрыв Виверны / Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,Экшен Меха Военное,"Действие разворачивается в 2017 году, когда несколько дивизий армии Европейского Союза оказываются на грани разгрома Британской Империей. Шансов на успех меньше 5%, и единственное, что может спасти армию ЕС от поражения и сохранить множество жизней, — это операция отряда «В-0», состоящего из выходцев 11 сектора, под командованием Лейлы Малкал. Если подростки потерпят неудачу, целая дивизия будет уничтожена. Может, именно от «Призрака Ганнибала» зависит судьба всего Европейского фронта?",7.49,https://moe.shikimori.one/system/animes/preview/15197.jpg?1633691477
6,6,Скитальцы OVA / Drifters (OVA),Сэйнэн Экшен Приключения Комедия Фэнтези Исторический Самураи,"Два дополнительных эпизода аниме «Скитальцы», выпущенных на DVD и Blu-Ray дисках.",7.55,https://nyaa.shikimori.one/system/animes/preview/36480.jpg?1635263698
7,7,Теннис 8 / Teekyuu 8,Сёнен Комедия Спорт,"Насуно Такамия — богатая девушка, которая думает, что всё можно решить деньгами, Канаэ Шинджо — глупая девушка, не умеющая играть в теннис, Маримо Бандо — странная извращенка-второкурсница и Юри Ошимото — адекватная, в отличие от друзей и единственный член клуба, который действительно знает, как играть в теннис, а также критически относится к нелепым выходкам подруг. Сегодня, завтра и послезавтра, независимо от времени и от того, вместе они или нет, эти девушки всегда попадают в странные случаи, которые редко связаны с игрой в теннис.",6.64,https://kawai.shikimori.one/system/animes/preview/33811.jpg?1635254167
8,8,"Буш-бэйби, маленький ангел Больших Равнин / Daisougen no Chiisana Tenshi: Bush Baby",Приключения Драма,"На дворе 1963 год, Кения только что получила независимость от Великобритании, а значит шестерёнки судьбы вновь начинают двигаться. В это нелёгкое время Джеки, дочь смотрителя заповедника в Кении, находит в саванне детёныша сенегальского галаго, известного в народе под названием буш-бэйби, и оказывается вынуждена приютить его, так как родная мама Мёрфи оказалась убита носорогом. Джеки ещё только предстоит узнать, как трудно вырастить собственного домашнего буш-бэйби, когда вокруг тебя постоянно меняющаяся дикая африканская саванна.",7.0,https://desu.shikimori.one/system/animes/preview/2913.jpg?1634717455
9,9,Токийский гуль √A / Tokyo Ghoul √A,Сэйнэн Экшен Драма Ужасы Детектив Сверхъестественное Психологическое,"Битва за Одиннадцатый район в самом разгаре: члены «Древа Аогири» схлестнулись с лучшими следователями CCG, а команда «Антэйку» уверенно прорывается через вражескую территорию, попутно избавляясь и от тех, и от других. В то же время Кэн Канэки, наконец-то пробудивший доставшиеся ему от Ризэ способности, спасается из комнаты пыток Джейсона и спешит выбраться на поверхность, где ему предоставится отличный шанс продемонстрировать новоприобретённые силы.

До этого момента он мешкал и сомневался, боясь своим неправильным выбором причинить кому-нибудь боль. Но, как сказала : «Сильный пожирает слабого». Теперь , казалось бы, нашёл выход из ситуации. Вот только все ли проблемы сможет решить его новая философия, ведь на множество вопросов до сих пор нет ответов. Почему смог выжить после пересадки органов гуля? Какие цели преследует «Древо Аогири»? Что скрывает ? И что на самом деле произошло в ту ночь с ?",7.04,https://dere.shikimori.one/system/animes/preview/27899.jpg?1633701381
10,10,Адский учитель Нубэ: Жуткие каникулы! Легенда Моря Подозрения / Jigoku Sensei Nube: Kyoufu no Natsuyasumi!! Ayashi no Umi no Densetsu!,Сёнен Экшен Ужасы Сверхъестественное Школа,"Отправившись на маленький остров, чтобы отдохнуть, Нубэ и его ученики встречают старого дедушку, который рассказывает им тайную легенду острова. Якобы в море, что вокруг этого острова, живёт паук, который каждые 200 лет превращается в страшного монстра и пожирает людей.
Вскоре после этого ребята обнаруживают на пляже невероятно обаятельную девушку, которая сразу понравилась всей компании. Однако через некоторое время начинают происходить странные и опасные события.",6.72,https://kawai.shikimori.one/system/animes/preview/5296.jpg?1633695115
